,Model,CategorizationThreat,CompetenceThreat,Disparagement,MoralityThreat,OpportunityHarm,RealisticThreat,SymbolicThreat
0,gpt-4-turbo,0.5653253035617181,1.0,1.0,1.0,0.3213601565992945,1.0,0.3213601565992945
1,gpt-3.5-turbo,6.622936268190411e-05,0.08282724740062891,0.15816308259956913,1.0,0.0007099706845951485,1.0,0.024369094837996753
2,Orca-2-7b,1.9879080220620578e-08,0.8699992365336935,0.0001040592335242579,6.782578017565601e-10,1.1016232289288448e-06,1.0501250942960285e-09,5.492106081725321e-10
3,mpt-7b-chat,2.941852011217406e-06,0.11058831675313213,2.2184964327977638e-06,0.0032362575647255473,0.0018474033869323564,0.22926146842450024,5.498929313465298e-05
4,vicuna-7b-v1.5,1.4810277059813958e-06,0.3312278094397183,2.758320829763465e-05,1.1417194847599223e-05,4.53685799742059e-06,0.0005379947542641154,2.037806216961854e-06
5,Llama-2-7b-chat-hf,3.8897585072325985e-07,0.01983009866335411,1.0501145573432869e-14,2.1261380805453586e-16,0.00014798668562817228,7.369410191702695e-07,2.0874791117106678e-07
6,vicuna-13b-v1.5,1.122390423333227e-11,0.0013581658090433741,1.749089020218812e-15,4.623573515340938e-17,3.040075515937704e-10,2.1512082221871665e-08,5.41643084199042e-13
7,Llama-2-13b-chat-hf,1.2088729606164322e-07,3.2714301616486877e-06,2.1261380805453586e-16,1.3688223144799173e-28,2.081211912297914e-06,9.061363496366299e-15,6.174551922079855e-13
